"id","timestamp","location","aqi","pm25","pm10","co","so2","no2","o3"
"1","2025-11-14 22:31:20.762336+00","Hanoi","82","26","51","1000","24","50","12"
"2","2025-11-14 15:52:11.364104+00","Hanoi","82","26","51","1000","24","50","12"
"3","2025-11-14 16:24:27.293915+00","Hanoi","82","26","51","1000","24","50","12"
"4","2025-11-14 16:50:40.96044+00","Ba Ria Vung Tau","72","20","34","482","5","20","30"
"5","2025-11-14 16:50:42.362669+00","Bac Giang","94","32","47","975","17","48","10"
"6","2025-11-14 16:50:43.667805+00","Bac Ninh","88","29","40","1000","24","61","3"
"7","2025-11-14 16:50:44.994197+00","Binh Dinh","76","23","33","212","2","8","43"
"8","2025-11-14 16:50:46.502157+00","Binh Duong","70","20","33","576","9","30","25"
"9","2025-11-14 16:50:47.890777+00","Can Tho","79","24","34","751","7","32","20"
"10","2025-11-14 16:50:49.238962+00","Cao Bang","92","31","62","688","5","26","14"
"11","2025-11-14 16:50:50.585874+00","Da Nang","84","27","48","270","3","12","36"
"12","2025-11-14 16:50:51.882588+00","Gia Lai","84","27","30","354","4","29","33"
"13","2025-11-14 16:50:53.252286+00","Ha Nam","98","34","58","1000","20","45","8"
"14","2025-11-14 16:50:54.621237+00","Ha Nam Province","96","33","44","1000","20","50","10"
"15","2025-11-14 16:50:56.108156+00","Ha Noi","96","33","56","1000","26","55","7"
"16","2025-11-14 16:50:57.459188+00","Hai Duong","93","32","50","982","17","49","12"
"17","2025-11-14 16:50:58.739872+00","Hai Phong","89","29","47","826","14","36","19"
"18","2025-11-14 16:51:00.016728+00","Ho Chi Minh","76","23","32","791","11","36","19"
"19","2025-11-14 16:51:01.292937+00","Hanoi","82","26","51","1000","24","50","12"
"20","2025-11-14 16:51:02.546353+00","Hung Yen","77","23","86","996","16","18","5"
"21","2025-11-14 16:51:03.912269+00","Hoa Binh Province","94","32","56","1000","26","49","8"
"22","2025-11-14 16:51:05.274933+00","Khanh Hoa","68","18","29","214","1","8","36"
"23","2025-11-14 16:51:06.636859+00","Lam Dong","22","4","7","194","1","7","29"
"24","2025-11-14 16:51:07.996609+00","Lang Son","98","34","58","940","11","39","10"
"25","2025-11-14 16:51:09.332251+00","Lang Son Province","97","34","51","1000","16","47","8"
"26","2025-11-14 16:51:10.661527+00","Lao Cai","64","16","22","368","2","5","22"
